texto;aspecto;sentiment;review
Buena cocina, ambiente tranquilo y servicio esmerado.;servicio;1;ambiente tranquilo y servicio esmerado.
por eso regresamos cada vez que podemos por que vale la pena, y si que es recomendable  A/t.;vacio;1;por eso regresamos cada vez que podemos por que vale la pena, y si que es recomendable  A/t.
manuel hasta la proxima y gracias.;vacio;1;manuel hasta la proxima y gracias.
Como Siempre fantastico,  Gran Servicio, calidad extrema y precio en concordacia.;vacio;1;Como Siempre fantastico,  Gran Servicio, calidad extrema y precio en concordacia.
Como Siempre fantastico,  Gran Servicio, calidad extrema y precio en concordacia.;Servicio;1;Siempre fantastico, Gran Servicio, calidad extrema y en
Como Siempre fantastico,  Gran Servicio, calidad extrema y precio en concordacia.;vacio;1;Como Siempre fantastico,  Gran Servicio, calidad extrema y precio en concordacia.
Un valor seguro cuando consiste no sólo en comer fantásticamente, si no en quedar bien con gente que está de visita en la ciudad.;vacio;1;Un valor seguro cuando consiste no sólo en comer fantásticamente, si no en quedar bien con gente que está de visita en la ciudad.
Buen trato y buena comida;trato;1;Buen trato y buena comida
Buen trato y buena comida;comida;1;Buen trato y buena comida
Hola, fuimos ayer dia 12-08-2011, y realmente los platos son exquisitos.;platos;1;y realmente los platos son exquisitos.
Me encantó.;vacio;1;Me encantó.
Sinceramente, buenisimo, sobretodo el solomillo con vino tinto buenisimo, el mejor que he probado y personal muy amable.;solomillo;1;Sinceramente, buenisimo, sobretodo el solomillo con vino tinto probado
Sinceramente, buenisimo, sobretodo el solomillo con vino tinto buenisimo, el mejor que he probado y personal muy amable.;personal;1;el mejor que he probado y personal muy amable.
Se está muy a gusto, mi restaurante preferido de barcelona.;restaurante;1;a gusto, mi restaurante preferido de barcelona.
Nunca defrauda.;vacio;1;Nunca defrauda.
Los precios un poco altos, pero compensa con la buena calidad del producto y la profesionalidad de todo el personal.;vacio;0;Los precios un poco altos, pero compensa con la buena calidad del producto y la profesionalidad de todo el personal.
Los precios un poco altos, pero compensa con la buena calidad del producto y la profesionalidad de todo el personal.;producto;1;con la buena calidad del producto y profesionalidad
Los precios un poco altos, pero compensa con la buena calidad del producto y la profesionalidad de todo el personal.;personal;1;la del y profesionalidad de todo el personal.
correcto y maxima comodidad.;vacio;1;correcto y maxima comodidad.
Me ha causado una gratisima impresión, tanto en la calidad de sus productos como en el exquisito trato de su personal.;productos;1;tanto en la calidad de sus productos como el trato
Me ha causado una gratisima impresión, tanto en la calidad de sus productos como en el exquisito trato de su personal.;trato;1;tanto en la calidad de sus productos como el exquisito trato su personal.
Repetiré cuando regrese por Barcelona y ya he recomendado a mis amigos.;vacio;1;Repetiré cuando regrese por Barcelona y ya he recomendado a mis amigos.
Calidad y servicio muy correctos.;vacio;1;Calidad y servicio muy correctos.
Calidad y servicio muy correctos.;servicio;1;Calidad y servicio muy correctos.
Un buen restaurante dentro de la gama media/alta de Barcelona;restaurante;1;Un buen restaurante dentro de la
Un restaurante muy tranquilo y perfecto para ocasiones especiales con la familia, etc...;restaurante;1;Un restaurante muy tranquilo y ocasiones
Un carta amplia y con mucha variedad.;carta;1;Un carta amplia y con variedad.
El servicio es atento y rápido, sin ser en ningún momento agobiante.;servicio;1;El servicio es atento y rápido, momento
Para recomendar.;vacio;1;Para recomendar.
La calidad de la comida no  corresponde al precio, además las mesas estan demasiado juntas y oyes sin quere todas las conversaciones de alrededor.;comida;0;La calidad de la comida no corresponde al las
La calidad de la comida no  corresponde al precio, además las mesas estan demasiado juntas y oyes sin quere todas las conversaciones de alrededor.;comida;0;La calidad de la comida no corresponde al las
La calidad de la comida no  corresponde al precio, además las mesas estan demasiado juntas y oyes sin quere todas las conversaciones de alrededor.;mesas;0;precio, además las mesas estan demasiado juntas quere
Definitivamente no volveré, al menos pagando yo.;vacio;0;Definitivamente no volveré, al menos pagando yo.
Se puede resumir en una palabra: Excelente;vacio;1;Se puede resumir en una palabra: Excelente
Muy buena calidad de alimentos y muy bien cocinados.;alimentos;1;Muy buena calidad de alimentos y muy bien cocinados.
Servicio rápido, muy amables.;Servicio;1;Servicio rápido, muy amables.
No le pongo un 10 por que es un poquito caro pero merece la pena ir.;vacio;0;No le pongo un 10 por que es un poquito caro pero merece la pena ir.
Debe ser un sitio de referencia siempre.;sitio;1;Debe ser un sitio de referencia siempre.
Fuimos por una recomedación y fue todo un acierto.;vacio;1;Fuimos por una recomedación y fue todo un acierto.
La xatonada y las croquetas una delicia.;xatonada;1;La xatonada y las croquetas una delicia.
La xatonada y las croquetas una delicia.;croquetas;1;La xatonada y las croquetas una delicia.
De segundo recomiendo las gambas sobretodo si te invitan.;gambas;1;segundo recomiendo las gambas sobretodo si te invitan.
De segundo recomiendo las gambas sobretodo si te invitan.;gambas;0;segundo recomiendo las gambas sobretodo si te invitan.
Buen servicio y buen ambiente.;servicio;1;Buen servicio y buen ambiente.
Buen servicio y buen ambiente.;ambiente;1;Buen servicio y buen ambiente.
Siempre vamos cuando no sabemos adonde ir para cenar, la comida esta bien y el precio en comparacion vale la pena .;comida;1;cuando no sabemos adonde ir para cenar, la comida esta bien y
Siempre vamos cuando no sabemos adonde ir para cenar, la comida esta bien y el precio en comparacion vale la pena .;vacio;1;Siempre vamos cuando no sabemos adonde ir para cenar, la comida esta bien y el precio en comparacion vale la pena .
El servicio y el trato son sin duda uno de los mejores de BCN, y eso que he probado muchos restaurantes.;servicio;1;El servicio y el trato son sin duda uno
El corte del jamon en lonchas mas finas!;corte;0;El corte del jamon en lonchas
"Impecable, calidad extraordinaria en cuanto al producto, la presentación y el ""punto"".";producto;1;calidad extraordinaria en cuanto al producto, la presentación y
El servicio lustroso, impecable, elegante.;servicio;1;El servicio lustroso, impecable, elegante.
Ninguna pega.;vacio;1;Ninguna pega.
Como siempre, L'Olivé es una valor seguro.;vacio;1;Como siempre, L'Olivé es una valor seguro.
Cocina catalana y de mercado, basada en una óptima calidad del producto.;producto;1;en una óptima calidad del producto.
Este restaurante goza de una homogeneidad envidiable.;restaurante;1;Este restaurante goza de una homogeneidad
Nunca les va a defraudar.;vacio;1;Nunca les va a defraudar.
Siempre es de una excelencia insuperable.;vacio;1;Siempre es de una excelencia insuperable.
El ambiente, la comida, el óptimo servicio y la magnífica relación calidad/precio.;ambiente;1;El ambiente, la comida, el servicio relación
El ambiente, la comida, el óptimo servicio y la magnífica relación calidad/precio.;comida;1;El ambiente, la comida, el óptimo servicio relación
El ambiente, la comida, el óptimo servicio y la magnífica relación calidad/precio.;servicio;1;El ambiente, la comida, el óptimo servicio y magnífica relación
El ambiente, la comida, el óptimo servicio y la magnífica relación calidad/precio.;vacio;1;El ambiente, la comida, el óptimo servicio y la magnífica relación calidad/precio.
El ambiente, la comida, el óptimo servicio y la magnífica relación calidad/precio.;vacio;1;El ambiente, la comida, el óptimo servicio y la magnífica relación calidad/precio.
Muy caro por la comida que ofrecen, he comido igual o mejor en La Flauta, El Asador de Aranda, etc.;comida;0;Muy caro por la comida que ofrecen, he
Un restaurante al que no pienso volver.;restaurante;0;Un restaurante al que no pienso
Nada que objetar a la comida, ni a la decoración, pero quiero dejar constancia que el servicio no está a la altura de lo que se merecería el restaurante.;comida;1;objetar a la comida, ni
Nada que objetar a la comida, ni a la decoración, pero quiero dejar constancia que el servicio no está a la altura de lo que se merecería el restaurante.;decoración;1;Nada que objetar a la ni decoración, pero quiero dejar
Nada que objetar a la comida, ni a la decoración, pero quiero dejar constancia que el servicio no está a la altura de lo que se merecería el restaurante.;servicio;0;que a la constancia el servicio no está altura merecería
De lo mejor de Barcelona.;vacio;1;De lo mejor de Barcelona.
Todo excelente.;vacio;1;Todo excelente.
El local muy bien, la calidad de la comida muy buena, servicio  bueno, pero la presentación de los platos, ya que se lo cobra, deja mucho que desear.;local;1;El local muy bien, la calidad servicio pero presentación cobra, deja mucho desear.
El local muy bien, la calidad de la comida muy buena, servicio  bueno, pero la presentación de los platos, ya que se lo cobra, deja mucho que desear.;comida;1;muy la calidad de comida buena, servicio
Otro detalle de mal gusto es que los entretenimientos que ponen al principio te los cobran.;entretenimientos;0;es que los entretenimientos ponen al te cobran.
Como siempre L'Olivé ofrece una cocina catalana y de mercado de una calidad impecable.;cocina;1;Como siempre L'Olivé ofrece una cocina catalana y de mercado
El producto siempre es de primera y de una homogeneidad envidiable.;producto;1;El producto siempre es de primera homogeneidad
"Su selección de ""para picar"" es destacable: óptimos calamares a la romana y fantásticos boquerones frescos y rebozados.";calamares;1;es destacable: óptimos calamares a la romana boquerones
"Su selección de ""para picar"" es destacable: óptimos calamares a la romana y fantásticos boquerones frescos y rebozados.";boquerones;1;óptimos calamares romana y fantásticos boquerones frescos rebozados.
Pescados impecables y de una cocción, ya sea a la plancha o al horno, siempre en su punto.;Pescados;1;Pescados impecables y de cocción, ya a la plancha o al en
"Unos postres para golosos, destacando una de las mejores ""cremas catalanas"" y un ""tiramisú"" de antología.";postres;1;Unos postres para golosos, destacando
"Unos postres para golosos, destacando una de las mejores ""cremas catalanas"" y un ""tiramisú"" de antología.";cremas;1;"una de las mejores catalanas"" y un"
"Unos postres para golosos, destacando una de las mejores ""cremas catalanas"" y un ""tiramisú"" de antología.";tiramisú;1;"Unos postres golosos, destacando una de catalanas"" y un antología."
La bodega suficiente y con una variedad muy bien escogida y a precios adecuados.;bodega;1;La bodega suficiente y con variedad
La bodega suficiente y con una variedad muy bien escogida y a precios adecuados.;bodega;1;La bodega suficiente y con variedad
El ambiente más que agradable y poco ruidoso.;ambiente;1;El ambiente más que agradable
Es un restaurante para repetir, repetir y repetir.;restaurante;1;Es un restaurante para repetir, repetir repetir.
Excelente !;vacio;1;Excelente !
Muy rica comida y muy buen servicio.;comida;1;Muy rica comida y muy buen servicio.
Muy rica comida y muy buen servicio.;servicio;1;rica comida y muy buen servicio.
La comida es buena o muy buena diria, el precio es carillo pero normal en esta zona de Barcelona, ahora bien el servicio es muy mejorable sobre todo que no os toque el camarero de las prisas que quiere que te vayas lo antes posible.;comida;1;La comida es buena o diria, carillo os
La comida es buena o muy buena diria, el precio es carillo pero normal en esta zona de Barcelona, ahora bien el servicio es muy mejorable sobre todo que no os toque el camarero de las prisas que quiere que te vayas lo antes posible.;comida;0;La comida es buena o diria, carillo os
La comida es buena o muy buena diria, el precio es carillo pero normal en esta zona de Barcelona, ahora bien el servicio es muy mejorable sobre todo que no os toque el camarero de las prisas que quiere que te vayas lo antes posible.;camarero;0;el de que no os toque camarero las prisas
por otro lado las mesas están demasiado juntas y hay mucho ruido.;mesas;1;otro lado las mesas están demasiado juntas hay
Bien.;vacio;1;Bien.
Buena cocina y servicio, aunque los camareros van acelerados como si estuvieran apagando un conato de incendio.;cocina;1;Buena cocina y servicio, aunque van
Buena cocina y servicio, aunque los camareros van acelerados como si estuvieran apagando un conato de incendio.;servicio;0;Buena cocina y servicio, aunque los camareros van
Buena cocina y servicio, aunque los camareros van acelerados como si estuvieran apagando un conato de incendio.;camareros;0;servicio, aunque los camareros van acelerados como
En realidad están tratando de que dejes la mesa lo antes posible para ocupar un segundo turno.;vacio;0;En realidad están tratando de que dejes la mesa lo antes posible para ocupar un segundo turno.
No es un chollo en cuanto a precio.;vacio;0;No es un chollo en cuanto a precio.
Nos encantó, llevamos clientes por el trabajo, y cenamos con fines de semana a solas... hasta hace poco volvimos con unos amigos y... qué decepción!!!;vacio;1;Nos encantó, llevamos clientes por el trabajo, y cenamos con fines de semana a solas... hasta hace poco volvimos con unos amigos y... qué decepción!!!
Nos encantó, llevamos clientes por el trabajo, y cenamos con fines de semana a solas... hasta hace poco volvimos con unos amigos y... qué decepción!!!;vacio;0;Nos encantó, llevamos clientes por el trabajo, y cenamos con fines de semana a solas... hasta hace poco volvimos con unos amigos y... qué decepción!!!
Trato pobre, los precios de los platos no tienen sentido y el local tiene mucho ruido!;Trato;0;Trato pobre, los precios de no tienen sentido el tiene
Trato pobre, los precios de los platos no tienen sentido y el local tiene mucho ruido!;platos;0;los precios de platos no tienen sentido
Trato pobre, los precios de los platos no tienen sentido y el local tiene mucho ruido!;local;0;tienen sentido y el local tiene mucho ruido!
El servicio deja de desear y sinceramente os dijo que este restaurante ha pasado su mejor momento.;servicio;0;El servicio deja de desear dijo
El servicio deja de desear y sinceramente os dijo que este restaurante ha pasado su mejor momento.;restaurante;0;dijo que este restaurante ha pasado su momento.
La verdad es que resulta muy caro para lo que recibes.;vacio;0;La verdad es que resulta muy caro para lo que recibes.
Tenia unas expectativas muy altas tras haber estado en el Barcelonta de mismo grupo, sinembargo me decepcionó muchísimo: comida recalentada, mucho ruido, mesas muy cerca, trato frio y desagradable... ;comida;0;sinembargo me decepcionó muchísimo: comida recalentada, mucho ruido, mesas trato
Tenia unas expectativas muy altas tras haber estado en el Barcelonta de mismo grupo, sinembargo me decepcionó muchísimo: comida recalentada, mucho ruido, mesas muy cerca, trato frio y desagradable... ;ruido;0;muy comida recalentada, mucho ruido, mesas cerca, trato
Tenia unas expectativas muy altas tras haber estado en el Barcelonta de mismo grupo, sinembargo me decepcionó muchísimo: comida recalentada, mucho ruido, mesas muy cerca, trato frio y desagradable... ;mesas;0;muy comida recalentada, mucho ruido, mesas cerca, trato
Tenia unas expectativas muy altas tras haber estado en el Barcelonta de mismo grupo, sinembargo me decepcionó muchísimo: comida recalentada, mucho ruido, mesas muy cerca, trato frio y desagradable... ;trato;0;muy comida recalentada, ruido, mesas cerca, trato frio y
No pienso volver.;vacio;0;No pienso volver.
Mi preferido para celebraciones especiales desde hace muchos años.;vacio;1;Mi preferido para celebraciones especiales desde hace muchos años.
Confío en él desde que estaba en la C/Muntaner.;vacio;1;Confío en él desde que estaba en la C/Muntaner.
Nunca me falla !!!;vacio;1;Nunca me falla !!!
Comida aceptable a un precio algo elevado para lo que es.;Comida;1;Comida aceptable a un precio lo que
Comida aceptable a un precio algo elevado para lo que es.;Comida;0;Comida aceptable a un precio lo que
Al restaurante le falta una renovación, se ha quedado algo anticuado en todos los sentidos.;restaurante;0;Al restaurante le falta una renovación, quedado
"el restaurante es agradable; la comida buena pero un poco cara; el servicio nos trató fatal (febrero 2007); ruidosos, impertinentes, fue imposible disfrutar de la cena.";restaurante;1;"el restaurante es agradable; la comida trató imposible"
"el restaurante es agradable; la comida buena pero un poco cara; el servicio nos trató fatal (febrero 2007); ruidosos, impertinentes, fue imposible disfrutar de la cena.";comida;1;"restaurante es agradable; la comida buena pero un cara; trató imposible"
"el restaurante es agradable; la comida buena pero un poco cara; el servicio nos trató fatal (febrero 2007); ruidosos, impertinentes, fue imposible disfrutar de la cena.";comida;0;"restaurante es agradable; la comida buena pero un cara; trató imposible"
"el restaurante es agradable; la comida buena pero un poco cara; el servicio nos trató fatal (febrero 2007); ruidosos, impertinentes, fue imposible disfrutar de la cena.";servicio;0;"el poco cara; servicio nos trató fatal ruidosos,"
Sin duda, lo peor del restaurante es la decoración, extrañamente alabada por algunos.;decoración;0;Sin peor restaurante es la decoración, extrañamente alabada por
Impersonal, lo peor que le puede pasar a un restaurante que quiere tener voz propia.;restaurante;0;lo peor que le puede pasar a un restaurante quiere tener
"Por lo demás, el servicio bueno dentro de que como decía un político pepero (Cañete) los ""nuevos"" camareros no diferencian un arroz de un fideo... pero por lo menos son eficaces y atentos.";servicio;1;Por lo demás, el servicio bueno dentro de los
La comida bien en cuanto calidad y cantidad.;comida;1;La comida bien en cuanto calidad
No se esperen platos extraordinarios, pero son en su mayoria muy buenos (que no es poco).;platos;1;No se esperen platos extraordinarios, pero son mayoria
Debe mejorar muy mucho su carta de vinos.;carta;0;Debe mejorar muy mucho su carta de vinos.
"Total; buena comida, con poca capacidad de sorpresa y bastante caro.";comida;1;"Total; buena comida, con poca capacidad"
"Total; buena comida, con poca capacidad de sorpresa y bastante caro.";comida;0;"Total; buena comida, con poca capacidad"
Lo han repetido en varias opiniones: el ruido es insufrible!!;ruido;0;varias opiniones: el ruido es
Me encantó el filete de vedella al foie, en general le doy una puntuación de 9.;filete;1;Me encantó el filete de vedella al foie, doy
La carta que sale en internet tendrìa que ser mas extensa.;carta;0;La carta que sale en extensa.
Y la verdad que lo pasamos estupendo.;vacio;1;Y la verdad que lo pasamos estupendo.
La comida muy pero muy buena, áun me acuerdo del foie y de mangret de pato con salsa de fresa.;comida;1;La comida muy pero áun me acuerdo foie
La comida muy pero muy buena, áun me acuerdo del foie y de mangret de pato con salsa de fresa.;foie;1;comida me acuerdo del foie y de mangret
La comida muy pero muy buena, áun me acuerdo del foie y de mangret de pato con salsa de fresa.;mangret;1;del foie y de mangret pato con salsa
Me ha encantado.;vacio;1;Me ha encantado.
Es verdad que los camareros van con mucha prisa, pero a nosotros nos ha ido bien, porque después de cenar teníamos que ir al teatro, y aun así salimos del restaurante corriendo.;camareros;1;verdad que los camareros van con mucha prisa,
"no cuiden al client; sorollos, un escandol, ha perdut tot l´encant.¡un desastre!";vacio;0;"no cuiden al client; sorollos, un escandol, ha perdut tot l´encant.¡un desastre!"
Comida con calidad correcta y en su justa proporcion y precio ay,ay,carta de vinos completa y bien,servicio profesional eficiente,peros:decoracion y ambiente casi retro,cobrar por pan que no pedi y servicio 2,20 €,por persona,pan de coca con tomate 3,20 €,excesivo, los cafes a 2,00,todo mas impuestos no repetire.;Comida;1;Comida con calidad correcta en de pan no pedi cafes a
Comida con calidad correcta y en su justa proporcion y precio ay,ay,carta de vinos completa y bien,servicio profesional eficiente,peros:decoracion y ambiente casi retro,cobrar por pan que no pedi y servicio 2,20 €,por persona,pan de coca con tomate 3,20 €,excesivo, los cafes a 2,00,todo mas impuestos no repetire.;Comida;0;Comida con calidad correcta en de pan no pedi cafes a
Comida con calidad correcta y en su justa proporcion y precio ay,ay,carta de vinos completa y bien,servicio profesional eficiente,peros:decoracion y ambiente casi retro,cobrar por pan que no pedi y servicio 2,20 €,por persona,pan de coca con tomate 3,20 €,excesivo, los cafes a 2,00,todo mas impuestos no repetire.;carta;1;y en su justa proporcion precio de vinos completa servicio
Comida con calidad correcta y en su justa proporcion y precio ay,ay,carta de vinos completa y bien,servicio profesional eficiente,peros:decoracion y ambiente casi retro,cobrar por pan que no pedi y servicio 2,20 €,por persona,pan de coca con tomate 3,20 €,excesivo, los cafes a 2,00,todo mas impuestos no repetire.;servicio;1;y en su justa proporcion completa profesional pan que no pedi servicio 2,20
Comida con calidad correcta y en su justa proporcion y precio ay,ay,carta de vinos completa y bien,servicio profesional eficiente,peros:decoracion y ambiente casi retro,cobrar por pan que no pedi y servicio 2,20 €,por persona,pan de coca con tomate 3,20 €,excesivo, los cafes a 2,00,todo mas impuestos no repetire.;peros:decoracion;0;
Comida con calidad correcta y en su justa proporcion y precio ay,ay,carta de vinos completa y bien,servicio profesional eficiente,peros:decoracion y ambiente casi retro,cobrar por pan que no pedi y servicio 2,20 €,por persona,pan de coca con tomate 3,20 €,excesivo, los cafes a 2,00,todo mas impuestos no repetire.;ambiente;0;y ambiente casi
Comida con calidad correcta y en su justa proporcion y precio ay,ay,carta de vinos completa y bien,servicio profesional eficiente,peros:decoracion y ambiente casi retro,cobrar por pan que no pedi y servicio 2,20 €,por persona,pan de coca con tomate 3,20 €,excesivo, los cafes a 2,00,todo mas impuestos no repetire.;pan;0;Comida por pan que no pedi servicio coca tomate cafes
Comida con calidad correcta y en su justa proporcion y precio ay,ay,carta de vinos completa y bien,servicio profesional eficiente,peros:decoracion y ambiente casi retro,cobrar por pan que no pedi y servicio 2,20 €,por persona,pan de coca con tomate 3,20 €,excesivo, los cafes a 2,00,todo mas impuestos no repetire.;pan;0;Comida por pan que no pedi servicio coca tomate cafes
Comida con calidad correcta y en su justa proporcion y precio ay,ay,carta de vinos completa y bien,servicio profesional eficiente,peros:decoracion y ambiente casi retro,cobrar por pan que no pedi y servicio 2,20 €,por persona,pan de coca con tomate 3,20 €,excesivo, los cafes a 2,00,todo mas impuestos no repetire.;cafes;0;Comida pan pedi tomate los cafes a mas impuestos
Uno de mis restaurantes preferidos.;restaurantes;1;Uno de mis restaurantes preferidos.
Buen ambiente, cocina excelente y decorado atractivo.;ambiente;1;Buen ambiente, cocina excelente y
Buen ambiente, cocina excelente y decorado atractivo.;cocina;1;Buen ambiente, cocina excelente y decorado atractivo.
Buen ambiente, cocina excelente y decorado atractivo.;decorado;1;cocina excelente y decorado atractivo.
Sobresaliente.;vacio;1;Sobresaliente.
Estamos hablando de un sitio muy fino situado en el cogollo barcelonés, por tanto, entiendo, que se tiene que reflejar en el precio.;sitio;1;Estamos hablando de un sitio muy fino situado entiendo,
Estamos hablando de un sitio muy fino situado en el cogollo barcelonés, por tanto, entiendo, que se tiene que reflejar en el precio.;sitio;1;Estamos hablando de un sitio muy fino situado entiendo,
Calidad excelente, carta extensísima, servicio atento, instalaciones cuidadísimas y salones privados que ensalzan todo lo dicho.;vacio;1;Calidad excelente, carta extensísima, servicio atento, instalaciones cuidadísimas y salones privados que ensalzan todo lo dicho.
Calidad excelente, carta extensísima, servicio atento, instalaciones cuidadísimas y salones privados que ensalzan todo lo dicho.;carta;1;Calidad excelente, carta extensísima, servicio atento, instalaciones
Calidad excelente, carta extensísima, servicio atento, instalaciones cuidadísimas y salones privados que ensalzan todo lo dicho.;servicio;1;Calidad excelente, carta extensísima, servicio atento, instalaciones cuidadísimas
Calidad excelente, carta extensísima, servicio atento, instalaciones cuidadísimas y salones privados que ensalzan todo lo dicho.;instalaciones;1;Calidad excelente, carta extensísima, servicio atento, instalaciones cuidadísimas y salones
En definitiva, no se lo pierdan.;vacio;1;En definitiva, no se lo pierdan.
La comida no está mal pero por lo que dan es caro.;comida;1;La comida no está mal caro.
La comida no está mal pero por lo que dan es caro.;comida;0;La comida no está mal caro.
El local no está mal pero el ambiente es ruidoso.;ambiente;0;mal pero el ambiente es ruidoso.
Soy asidua del restaurante cuando hay celebraciones de empresa o familiares.;restaurante;1;Soy asidua del restaurante cuando hay celebraciones
La relación calidad/precio es excelente teniendo en cuenta lo que hay por ahí.;vacio;1;La relación calidad/precio es excelente teniendo en cuenta lo que hay por ahí.
La relación calidad/precio es excelente teniendo en cuenta lo que hay por ahí.;vacio;1;La relación calidad/precio es excelente teniendo en cuenta lo que hay por ahí.
Muy recomendable.;vacio;1;Muy recomendable.
El restaurante es bonito y la comida buena, pero para mi gusto el precio es excesible en relación calidad precio.;restaurante;1;El restaurante es bonito y comida excesible
El restaurante es bonito y la comida buena, pero para mi gusto el precio es excesible en relación calidad precio.;restaurante;0;El restaurante es bonito y comida excesible
El restaurante es bonito y la comida buena, pero para mi gusto el precio es excesible en relación calidad precio.;comida;1;restaurante es bonito y la comida buena, pero para excesible
Me habian recomendado este restaurante y la verdad es que valia la pena probar.;restaurante;1;Me habian recomendado este restaurante y la verdad es
Muy buen trato por parte de todo el personal (correcto, educado y profesional), la comida muy buena y un ambiente relajado en el comedor.;trato;1;Muy buen trato por parte de personal buena
Muy buen trato por parte de todo el personal (correcto, educado y profesional), la comida muy buena y un ambiente relajado en el comedor.;comida;1;por el personal y la comida muy buena ambiente
Muy buen trato por parte de todo el personal (correcto, educado y profesional), la comida muy buena y un ambiente relajado en el comedor.;ambiente;1;por el personal y comida buena un ambiente relajado en
Sencillamente, me ha encantado!;vacio;1;Sencillamente, me ha encantado!
Lo recomiendo!!!!!;vacio;1;Lo recomiendo!!!!!
lo recomiendo, se come muy bien calidad, precio excelente que es lo importante, buena bodega.;vacio;1;lo recomiendo, se come muy bien calidad, precio excelente que es lo importante, buena bodega.
lo recomiendo, se come muy bien calidad, precio excelente que es lo importante, buena bodega.;vacio;1;lo recomiendo, se come muy bien calidad, precio excelente que es lo importante, buena bodega.
lo recomiendo, se come muy bien calidad, precio excelente que es lo importante, buena bodega.;bodega;1;lo que es importante, buena bodega.
Impecable.;vacio;1;Impecable.
Cocina, platos y sobre todo el personal extraordinario,  y muy profesional.;Cocina;1;Cocina, platos y sobre el personal profesional.
Cocina, platos y sobre todo el personal extraordinario,  y muy profesional.;platos;1;Cocina, platos y sobre todo personal profesional.
Cocina, platos y sobre todo el personal extraordinario,  y muy profesional.;personal;1;Cocina, platos y sobre todo el personal extraordinario, muy profesional.
!Me siento engañado!;vacio;0;!Me siento engañado!
Cenamos mi señora y yo correctamente el servicio la comida también sin ser nada fuera de lo común, los sorbetes fueron mediocres por no decir que no estaban a la altura de lo pagado,  pero no estaba mal hasta aquí todo correcto, sobre las doce y cuarto aparecen “Las Posesas”Se empiezan hacer fotos con algún cliente y a dar vueltas por el local.;servicio;1;Cenamos señora yo correctamente el servicio la comida también nada las
Cenamos mi señora y yo correctamente el servicio la comida también sin ser nada fuera de lo común, los sorbetes fueron mediocres por no decir que no estaban a la altura de lo pagado,  pero no estaba mal hasta aquí todo correcto, sobre las doce y cuarto aparecen “Las Posesas”Se empiezan hacer fotos con algún cliente y a dar vueltas por el local.;sorbetes;0;Cenamos lo común, los sorbetes fueron mediocres por decir mal empiezan
A la una mi mujer y yo ya nos dormíamos esperando el espectáculo prometido y nos fuimos, antes de irme se lo comente a un responsable de barra y ya no me contestaba como al principio con buenas palabras y educación ahora me dice que no es su problema y que el no tenia la culpa que el espectáculo indicado a las 23:30 fuese la una y no hubiese empezado.;responsable;0;una y yo ya de se lo comente a un responsable barra al
Poseso me siento engañado reserve una cena con espectáculo y me fui una hora y media mas tarde sin ver el espectáculo, pague 66€ por la cena de dos me podía haber ido a cualquier otro restaurante que por esa cantidad hubiese cenado igual o mejor y me engañaron no disfruté de ningúna actuación.;vacio;0;Poseso me siento engañado reserve una cena con espectáculo y me fui una hora y media mas tarde sin ver el espectáculo, pague 66€ por la cena de dos me podía haber ido a cualquier otro restaurante que por esa cantidad hubiese cenado igual o mejor y me engañaron no disfruté de ningúna actuación.
Poseso me siento engañado reserve una cena con espectáculo y me fui una hora y media mas tarde sin ver el espectáculo, pague 66€ por la cena de dos me podía haber ido a cualquier otro restaurante que por esa cantidad hubiese cenado igual o mejor y me engañaron no disfruté de ningúna actuación.;vacio;0;Poseso me siento engañado reserve una cena con espectáculo y me fui una hora y media mas tarde sin ver el espectáculo, pague 66€ por la cena de dos me podía haber ido a cualquier otro restaurante que por esa cantidad hubiese cenado igual o mejor y me engañaron no disfruté de ningúna actuación.
Poseso me siento engañado reserve una cena con espectáculo y me fui una hora y media mas tarde sin ver el espectáculo, pague 66€ por la cena de dos me podía haber ido a cualquier otro restaurante que por esa cantidad hubiese cenado igual o mejor y me engañaron no disfruté de ningúna actuación.;vacio;0;Poseso me siento engañado reserve una cena con espectáculo y me fui una hora y media mas tarde sin ver el espectáculo, pague 66€ por la cena de dos me podía haber ido a cualquier otro restaurante que por esa cantidad hubiese cenado igual o mejor y me engañaron no disfruté de ningúna actuación.
Nosotros estuvimos de cena y lo pasamos francamente bien.;vacio;1;Nosotros estuvimos de cena y lo pasamos francamente bien.
Actuaban las Posesas e hicieron un show muy entretenido y divertido tanto en el escenario como cuando están con la gente haciendose fotos son muy simpáticas.;show;1;e hicieron un show muy entretenido y en el escenario
Actuaban las Posesas e hicieron un show muy entretenido y divertido tanto en el escenario como cuando están con la gente haciendose fotos son muy simpáticas.;las;1;Actuaban las Posesas e hicieron en el como con la gente
La comida y el servio bien y se agradece que la actuación comience cuando hemos terminado de cenar.;comida;1;La comida y el servio bien agradece
La comida y el servio bien y se agradece que la actuación comience cuando hemos terminado de cenar.;servio;1;La comida y el servio bien se agradece
La comida y el servio bien y se agradece que la actuación comience cuando hemos terminado de cenar.;actuación;1;agradece que la actuación comience cuando hemos terminado
Estuve con una amiga este viernes pasado, se lo había recomendado porque ya había estado allí y me pareció un lugar diferente, un sitio para cenar, pasar un rato divertido, tomar alguna copa y cenar algo, bueno, decepción total, el ambiente del restaurante, antes más innovador, ahora se ha convertido en  un restaurante más.;sitio;1;una amiga se lo había recomendado estado un lugar diferente, sitio para cenar, pasar cenar convertido
